SID,Run,Trial,RawOnset (ms),TROnset,Go/Stop,Stop,Z (s),Delay (s),Response,RT (s),Code,Duration (s),Jitter (ms),Mean (s),Trial Duration (s),Onset Difference (s),Trial Duration (ms),Onset Difference (ms),Latency (ms),,Block,Expected Block Duration (ms),Actual Block Duration (ms),Block Duration Difference (ms),Calculated Between-Trial Latency (ms),Remaining Within cycle() Latency (ms),Within cycle() Latency Per Trial (ms)
20130821T161643,3,42,184518.6701,73.8075,Go,0,,,,,4,2.1998,2498.3203,NaN,4.6981203,4.7161861,4698.1203,4716.1861,18.0658,,,,,,,,
20130821T161643,3,43,189234.8562,75.6939,Go,0,,,,,4,2.1998,1998.3572,NaN,4.1981572,4.2162941,4198.1572,4216.2941,18.1369,,,,,,,,
20130821T161643,3,44,193451.1503,77.3805,Go,0,,,,,4,2.1998,1498.3203,NaN,3.6981203,3.7169434,3698.1203,3716.9434,18.8231,,,,,,,,
20130821T161643,3,45,197168.0937,78.8672,Stop,1,0.35,0.25,,,1,2.3498,2498.317,NaN,4.848117,4.8656611,4848.117,4865.6611,17.5441,,,,,,,,
20130821T161643,3,46,202033.7548,80.8135,Go,0,,,,,4,2.1997,2498.3283,NaN,4.6980283,4.7162622,4698.0283,4716.2622,18.2339,,,,,,,,
20130821T161643,3,47,206750.017,82.7,Go,0,,,,,4,2.1998,1998.3195,NaN,4.1981195,4.2169314,4198.1195,4216.9314,18.8119,,,,,,,,
20130821T161643,3,48,210966.9484,84.3868,Stop,1,0.35,0.25,,,1,2.3498,2498.321,NaN,4.848121,4.8664334,4848.121,4866.4334,18.3124,,,,,,,,
20130821T161643,3,49,215833.3818,86.3334,Stop,1,0.33333,0.26667,,,1,2.3331,2514.99,NaN,4.84809,4.8662514,4848.09,4866.2514,18.1614,,,,,,,,
20130821T161643,3,50,220699.6332,88.2799,Stop,1,0.36667,0.23333,,,1,2.3665,1481.654,NaN,3.848154,,3848.154,,,,,,,,,,
20130821T161643,4,1,5751.6177,2.3006,Go,0,,,,,4,2.1998,2998.34,NaN,5.19814,5.2148235,5198.14,5214.8235,16.6835,,,,,,,,
20130821T161643,4,2,10966.4412,4.3866,Go,0,,,,,4,2.1998,2498.3263,NaN,4.6981263,4.7169213,4698.1263,4716.9213,18.795,,,,,,,,
